"time";"r Pr1.Vt";"i Pr1.Vt"
0;0.000487405;0
1e-06;0.00173848;0
2e-06;0.00218818;0
3e-06;0.0023495;0
4e-06;0.00240723;0
5e-06;0.00242773;0
6e-06;0.00243501;0
7e-06;0.0024376;0
8e-06;0.00243852;0
9e-06;0.00243884;0
1e-05;0.00243896;0
1.1e-05;0.002439;0
1.2e-05;0.00243902;0
1.3e-05;0.00243902;0
1.4e-05;0.00243902;0
1.5e-05;0.00243902;0
1.6e-05;0.00243902;0
1.7e-05;0.00243902;0
1.8e-05;0.00243902;0
1.9e-05;0.00243902;0
2e-05;0.00243902;0
2.1e-05;0.00243902;0
2.2e-05;0.00243902;0
2.3e-05;0.00243902;0
2.4e-05;0.00243902;0
2.5e-05;0.00243902;0
2.6e-05;0.00243902;0
2.7e-05;0.00243902;0
2.8e-05;0.00243902;0
2.9e-05;0.00243902;0
3e-05;0.00243902;0
3.1e-05;0.00243902;0
3.2e-05;0.00243902;0
3.3e-05;0.00243902;0
3.4e-05;0.00243902;0
3.5e-05;0.00243902;0
3.6e-05;0.00243902;0
3.7e-05;0.00243902;0
3.8e-05;0.00243902;0
3.9e-05;0.00243902;0
4e-05;0.00243902;0
4.1e-05;0.00243902;0
4.2e-05;0.00243902;0
4.3e-05;0.00243902;0
4.4e-05;0.00243902;0
4.5e-05;0.00243902;0
4.6e-05;0.00243902;0
4.7e-05;0.00243902;0
4.8e-05;0.00243902;0
4.9e-05;0.00243902;0
5e-05;0.00243902;0
5.1e-05;0.00243902;0
5.2e-05;0.00243902;0
5.3e-05;0.00243902;0
5.4e-05;0.00243902;0
5.5e-05;0.00243902;0
5.6e-05;0.00243902;0
5.7e-05;0.00243902;0
5.8e-05;0.00243902;0
5.9e-05;0.00243902;0
6e-05;0.00243902;0
6.1e-05;0.00243902;0
6.2e-05;0.00243902;0
6.3e-05;0.00243902;0
6.4e-05;0.00243902;0
6.5e-05;0.00243902;0
6.6e-05;0.00243902;0
6.7e-05;0.00243902;0
6.8e-05;0.00243902;0
6.9e-05;0.00243902;0
7e-05;0.00243902;0
7.1e-05;0.00243902;0
7.2e-05;0.00243902;0
7.3e-05;0.00243902;0
7.4e-05;0.00243902;0
7.5e-05;0.00243902;0
7.6e-05;0.00243902;0
7.7e-05;0.00243902;0
7.8e-05;0.00243902;0
7.9e-05;0.00243902;0
8e-05;0.00243902;0
8.1e-05;0.00243902;0
8.2e-05;0.00243902;0
8.3e-05;0.00243902;0
8.4e-05;0.00243902;0
8.5e-05;0.00243902;0
8.6e-05;0.00243902;0
8.7e-05;0.00243902;0
8.8e-05;0.00243902;0
8.9e-05;0.00243902;0
9e-05;0.00243902;0
9.1e-05;0.00243902;0
9.2e-05;0.00243902;0
9.3e-05;0.00243902;0
9.4e-05;0.00243902;0
9.5e-05;0.00243902;0
9.6e-05;0.00243902;0
9.7e-05;0.00243902;0
9.8e-05;0.00243902;0
9.9e-05;0.00243902;0
0.0001;0.00243902;0
0.000101;-5.41992e-05;0
0.000102;-0.000958084;0
0.000103;-0.00128253;0
0.000104;-0.0013989;0
0.000105;-0.00144051;0
0.000106;-0.00145528;0
0.000107;-0.00146053;0
0.000108;-0.00146239;0
0.000109;-0.00146305;0
0.00011;-0.00146329;0
0.000111;-0.00146337;0
0.000112;-0.0014634;0
0.000113;-0.00146341;0
0.000114;-0.00146341;0
0.000115;-0.00146341;0
0.000116;-0.00146341;0
0.000117;-0.00146341;0
0.000118;-0.00146341;0
0.000119;-0.00146341;0
0.00012;-0.00146341;0
0.000121;-0.00146341;0
0.000122;-0.00146341;0
0.000123;-0.00146341;0
0.000124;-0.00146341;0
0.000125;-0.00146341;0
0.000126;-0.00146341;0
0.000127;-0.00146341;0
0.000128;-0.00146341;0
0.000129;-0.00146341;0
0.00013;-0.00146341;0
0.000131;-0.00146341;0
0.000132;-0.00146341;0
0.000133;-0.00146341;0
0.000134;-0.00146341;0
0.000135;-0.00146341;0
0.000136;-0.00146341;0
0.000137;-0.00146341;0
0.000138;-0.00146341;0
0.000139;-0.00146341;0
0.00014;-0.00146341;0
0.000141;-0.00146341;0
0.000142;-0.00146341;0
0.000143;-0.00146341;0
0.000144;-0.00146341;0
0.000145;-0.00146341;0
0.000146;-0.00146341;0
0.000147;-0.00146341;0
0.000148;-0.00146341;0
0.000149;-0.00146341;0
0.00015;-0.00146341;0
0.000151;-0.00146341;0
0.000152;-0.00146341;0
0.000153;-0.00146341;0
0.000154;-0.00146341;0
0.000155;-0.00146341;0
0.000156;-0.00146341;0
0.000157;-0.00146341;0
0.000158;-0.00146341;0
0.000159;-0.00146341;0
0.00016;-0.00146341;0
0.000161;-0.00146341;0
0.000162;-0.00146341;0
0.000163;-0.00146341;0
0.000164;-0.00146341;0
0.000165;-0.00146341;0
0.000166;-0.00146341;0
0.000167;-0.00146341;0
0.000168;-0.00146341;0
0.000169;-0.00146341;0
0.00017;-0.00146341;0
0.000171;-0.00146341;0
0.000172;-0.00146341;0
0.000173;-0.00146341;0
0.000174;-0.00146341;0
0.000175;-0.00146341;0
0.000176;-0.00146341;0
0.000177;-0.00146341;0
0.000178;-0.00146341;0
0.000179;-0.00146341;0
0.00018;-0.00146341;0
0.000181;-0.00146341;0
0.000182;-0.00146341;0
0.000183;-0.00146341;0
0.000184;-0.00146341;0
0.000185;-0.00146341;0
0.000186;-0.00146341;0
0.000187;-0.00146341;0
0.000188;-0.00146341;0
0.000189;-0.00146341;0
0.00019;-0.00146341;0
0.000191;-0.00146341;0
0.000192;-0.00146341;0
0.000193;-0.00146341;0
0.000194;-0.00146341;0
0.000195;-0.00146341;0
0.000196;-0.00146341;0
0.000197;-0.00146341;0
0.000198;-0.00146341;0
0.000199;-0.00146341;0
0.0002;-0.00146341;0
0.000201;0.00103258;0
0.000202;0.00193516;0
0.000203;0.00225882;0
0.000204;0.00237536;0
0.000205;0.00241671;0
0.000206;0.0024312;0
0.000207;0.00243628;0
0.000208;0.00243806;0
0.000209;0.00243869;0
0.00021;0.00243891;0
0.000211;0.00243898;0
0.000212;0.00243901;0
0.000213;0.00243902;0
0.000214;0.00243902;0
0.000215;0.00243902;0
0.000216;0.00243902;0
0.000217;0.00243902;0
0.000218;0.00243902;0
0.000219;0.00243902;0
0.00022;0.00243902;0
0.000221;0.00243902;0
0.000222;0.00243902;0
0.000223;0.00243902;0
0.000224;0.00243902;0
0.000225;0.00243902;0
0.000226;0.00243902;0
0.000227;0.00243902;0
0.000228;0.00243902;0
0.000229;0.00243902;0
0.00023;0.00243902;0
0.000231;0.00243902;0
0.000232;0.00243902;0
0.000233;0.00243902;0
0.000234;0.00243902;0
0.000235;0.00243902;0
0.000236;0.00243902;0
0.000237;0.00243902;0
0.000238;0.00243902;0
0.000239;0.00243902;0
