time,n,mutual information
0.00143218040466,10.0,2.32192809489
0.000795125961304,16.2377673919,2.07781953111
0.00124096870422,26.3665089873,1.98009141225
0.00194096565247,42.8133239872,2.13947524742
0.00322508811951,69.5192796178,2.02336181027
0.00536298751831,112.883789168,2.00296008859
0.00911998748779,183.298071083,1.9001271446
0.0156178474426,297.635144163,1.91788966067
0.0298449993134,483.293023857,1.8906515084
0.0537528991699,784.759970351,1.88601434217
0.113654851913,1274.2749857,1.8855250979
0.260811090469,2069.13808111,1.88057397685
0.621492862701,3359.81828628,1.87730614895
1.5493979454,5455.59478117,1.87566691709
3.96084785461,8858.6679041,1.87492630645
10.0585861206,14384.4988829,1.87482936898
25.9894518852,23357.2146909,1.87463177263
67.720564127,37926.9019073,1.87470607139
177.19464016,61584.8211066,1.87455897114
469.526228189,100000.0,1.87458688277
