time,n,mutual information
0.000503063201904,10.0,0.321928094887
0.000560998916626,16.2377673919,0.0655078450172
0.000868082046509,26.3665089873,0.28148611125
0.00137090682983,42.8133239872,0.381374102404
0.00227403640747,69.5192796178,0.36424160729
0.00379490852356,112.883789168,0.3391581108
0.0067150592804,183.298071083,0.337042641418
0.012216091156,297.635144163,0.280844454533
0.0242280960083,483.293023857,0.266267334725
0.0491979122162,784.759970351,0.32479850074
0.106629133224,1274.2749857,0.279807904171
0.244319915771,2069.13808111,0.300895688606
0.58119893074,3359.81828628,0.322428508144
1.44296598434,5455.59478117,0.311677618507
3.66645002365,8858.6679041,0.309753707885
9.37525391579,14384.4988829,0.31117587915
24.2946820259,23357.2146909,0.305021244458
63.1735839844,37926.9019073,0.313550073109
164.697034836,61584.8211066,0.311676354721
431.694918871,100000.0,0.311409425365

