Uttar Pradesh,Agra,2004,21.6,0,0,4,10.5,26.7,91.6,160.9,56.2,60.8,0,0,432.3
Uttar Pradesh,Agra,2005,0,0,8.5,3,1,9.7,312.4,37.5,46.3,0,0,1,419.4
Uttar Pradesh,Agra,2006,0,0,1,0.1,7,20,190.8,63.5,29.8,3,0,0,315.2
Uttar Pradesh,Agra,2007,0,31.5,24.2,0,4.5,62.9,81.3,116.1,46.6,0,0,0.4,367.5
Uttar Pradesh,Agra,2008,0,0,0,14.1,22.2,116,173.2,162.7,56.6,0.3,0,0,545.1
Uttar Pradesh,Agra,2009,0,0,0,1.6,38,16.8,74.1,76.7,84.4,62.6,14.8,2,371
Uttar Pradesh,Agra,2010,1.3,8.6,0,0,0,13.5,98.2,119.7,146.7,1.5,27.8,1.7,419
Uttar Pradesh, Aligarh,2004,9.6,0,0,30.8,22.1,17.2,33.5,272.4,79.7,48.4,0,0,513.7
Uttar Pradesh, Aligarh,2005,11.5,21.8,26,9.8,7,16.7,465.2,38.3,178.9,0,0,0,775.2
Uttar Pradesh, Aligarh,2006,1.4,0,6,1.9,22.2,59.8,168.1,34.9,48.9,15,0,0.5,358.7
Uttar Pradesh, Aligarh,2007,3.6,53.6,46.2,0,6,86.4,168.8,145.9,12.2,0,N.A.,0,N.A.
Uttar Pradesh, Aligarh,2008,0,0,0,24,106.4,173.6,243.1,208,124.1,0,N.A.,N.A.,N.A.
Uttar Pradesh, Aligarh,2009,N.A.,N.A.,N.A.,N.A.,N.A.,0,61.5,137.2,34.9,19.1,20.5,11.1,284.3
Uttar Pradesh, Aligarh,2010,1.2,5.1,0,0,0,12.5,66.3,228.8,293.9,0,14.9,3.3,626
Uttar Pradesh, Allahabad,2004,25.9,0,0,15.5,9.9,215.2,163.2,195,102.1,2.2,0,0,729
Uttar Pradesh, Allahabad,2005,44.9,12.5,16.9,2.8,0,73.5,320.7,243.6,87.2,28.3,0,18.2,848.6
Uttar Pradesh, Allahabad,2006,0,0,24,23.5,6.2,62.5,456.1,237.6,47.4,39.5,0,0,896.8
Uttar Pradesh, Allahabad,2007,0.1,75.8,25.1,1.2,21.9,77,295.4,295.4,209.2,2.8,0,5.4,1009.3
Uttar Pradesh, Allahabad,2008,0.6,10,0,3.1,38.5,322.4,446.9,326.1,67.5,20.3,1.7,0,1237.1
Uttar Pradesh, Allahabad,2009,0,0.5,14.4,3.2,26.8,3.1,172.7,64.8,177.8,33.6,15.9,6,518.8
Uttar Pradesh, Allahabad,2010,3.6,19.2,0,0.5,7.5,8.5,201.7,160.6,126.4,45.5,5.3,0,578.8
Uttar Pradesh, Ambedkar Nagar,2004,25.4,0,0,26.3,40.5,263.4,530.3,227.4,114.8,16.5,0,0,1244.6
Uttar Pradesh, Ambedkar Nagar,2005,15.2,12.4,11.3,0,0,52.1,558.7,489.4,205.4,5.9,0,0,1350.4
Uttar Pradesh, Ambedkar Nagar,2006,0,0,3.2,7,35.3,125.3,132.2,122.7,41.5,0,0,0,467.2
Uttar Pradesh, Ambedkar Nagar,2007,0,21.5,20.1,0,1,31.5,327.7,73.5,157.6,0,0,0,632.9
Uttar Pradesh, Ambedkar Nagar,2008,N.A.,N.A.,0,N.A.,N.A.,198.9,684.6,386.6,49.7,10,0,0,N.A.
Uttar Pradesh, Ambedkar Nagar,2009,0,0,0,0,20.1,20.2,87.2,318.1,89.1,157,0,6.9,698.6
Uttar Pradesh, Ambedkar Nagar,2010,0,17.4,0,0,26.7,32,195.5,89.9,180.2,16,0,0,557.7
Uttar Pradesh, Auraiya,2004,N.A.,N.A.,N.A.,3.8,2,4,92.9,106.3,149.6,72,N.A.,N.A.,N.A.
Uttar Pradesh, Auraiya,2005,0,0,3.8,N.A.,N.A.,1.3,117.9,64.8,76.6,0,0,N.A.,N.A.
Uttar Pradesh, Auraiya,2006,N.A.,N.A.,0,N.A.,N.A.,36.6,207.9,34.1,60.1,0,N.A.,N.A.,N.A.
Uttar Pradesh, Auraiya,2007,N.A.,125,69,0,0,47.5,96.4,126.6,22,0,N.A.,N.A.,N.A.
Uttar Pradesh, Auraiya,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,397,231.1,70.7,0,N.A.,N.A.,N.A.
Uttar Pradesh, Auraiya,2009,0,N.A.,N.A.,N.A.,N.A.,0,116.1,217,101.3,53,0.3,3.5,N.A.
Uttar Pradesh, Auraiya,2010,0.8,3.8,0,0,3.4,8.6,260,181.4,95.6,1.6,24,1.5,580.7
Uttar Pradesh, Azamgarh,2004,30.2,0,0,0,38.4,226.2,222.5,270.8,8,7,0,0,803.1
Uttar Pradesh, Azamgarh,2005,3.2,0,10.2,0,13.4,57.5,368.8,499.6,89.8,28,0,9.2,1079.7
Uttar Pradesh, Azamgarh,2006,0,0,25,19,58.6,70.6,472.2,270.1,196.4,12.5,0,0,1124.4
Uttar Pradesh, Azamgarh,2007,0,67.9,101.1,0,70.4,190.8,466.8,342.9,351.1,18.6,N.A.,N.A.,N.A.
Uttar Pradesh, Azamgarh,2008,N.A.,N.A.,N.A.,N.A.,N.A.,271.2,281.5,311.5,68.5,0,N.A.,N.A.,N.A.
Uttar Pradesh, Azamgarh,2009,N.A.,N.A.,N.A.,N.A.,30.1,18,212,274.6,188.9,14.8,0,3,N.A.
